New York Giants,Allen Robinson II,6.5,2,1,all,False,0,1672440129.198849
New York Giants,Amari Cooper,5.5,2,2,all,False,0,1672440162.3997808
New York Giants,Nate Hobbs,12.5,6,3,all,False,0,1672440207.9404733
New York Giants,Ronnie Perkins,3.0,3,4,all,False,0,1672440281.1189842
New York Giants,Divine Deablo,3.0,3,5,all,False,0,1672440384.5684767
New York Giants,Gregory Rousseau,7.0,5,6,all,False,0,1672440467.9884639
New York Giants,Matt Judon,6.0,1,7,all,False,0,1672440513.7908792
Pittsburgh Steelers,Kevin Byard,4.0,1,1,all,False,0,1672455657.2592826,4.330785281442135
Las Vegas Raiders,Budda Baker,2.0,2,1,all,False,0,1672455744.50856,1.8192417536667742,1.8192417536667742,1.8192417536667742
Dallas Cowboys,Mike Williams,5.0,1,1,all,False,0,1672455784.9001715,5.289713782358623,5.289713782358623
Pittsburgh Steelers,Rasul Douglas,8.0,1,2,all,False,0,1672455852.2116654,9.288476893823582
Dallas Cowboys,Budda Baker,4.0,1,2,all,False,0,1672455954.356626,4.239496474593561
New York Jets,Quandre Diggs,4.0,2,1,all,False,0,1672455984.7012308,3.630961148136389
Dallas Cowboys,Isaiah Spiller,1.0,5,3,all,False,0,1672456084.5820076,1.9026983042363848
Pittsburgh Steelers,Foley Fatukasi,3.0,2,5,all,False,0,1672456111.9548743,3.637877380734504
Pittsburgh Steelers,Tre Norwood,7.5,5,6,all,False,0,1672456135.8716505,15.410824667906928,15.410824667906928,15.410824667906928
Pittsburgh Steelers,Matt Milano,7.0,2,7,all,False,0,1672456179.394213,9.576152974866568
Dallas Cowboys,D.J. Reed,1.5,1,4,all,False,0,1672456209.740502,1.5587449157698798
Pittsburgh Steelers,Eric Ebron,0.61,1,8,all,False,0,1672456254.202141,0.5666026052178162
New Orleans Saints,Jimmy Garoppolo,1.0,1,1,all,False,0,1672456269.2517035,1.0579596859240186
Pittsburgh Steelers,James Daniels,8.0,3,9,all,False,0,1672456280.782252,12.18028563607624
New Orleans Saints,Charles Leno Jr.,5.0,1,2,all,False,0,1672456290.2924466,4.758358157442674
New Orleans Saints,Keenan Allen,6.0,1,3,all,False,0,1672456306.1786647,5.157487497078545
New Orleans Saints,Anthony Walker Jr.,3.0,1,4,all,False,0,1672456323.5567605,2.7914282413311065
Pittsburgh Steelers,Brandin Cooks,3.0,1,10,all,False,0,1672456343.0569422,2.671434308381085
Pittsburgh Steelers,Russell Gage,4.0,2,11,all,False,0,1672456359.3959792,4.900501531600643
Dallas Cowboys,Denzel Mims,1.0,1,5,all,False,0,1672456363.8054783,0.9014334468426712
Pittsburgh Steelers,Josh Sweat,3.0,2,12,all,False,0,1672456387.976493,2.4792850287505956
Pittsburgh Steelers,Blake Cashman,5.0,3,13,all,False,0,1672456443.1105947,7.629550636331292
Dallas Cowboys,Cameron McGrone,0.8,1,6,all,False,0,1672456473.4468825,0.8004660118722765
New Orleans Saints,Gerald Everett,0.61,1,5,all,False,0,1672456483.0992177,0.5301104652266408
Las Vegas Raiders,Olakunle Fatukasi,1.0,1,2,all,False,0,1672456541.9068706,1.099235780843204
Pittsburgh Steelers,Darious Williams,3.0,2,14,all,False,0,1672456635.3279483,3.683185147336145
Chicago Bears,Elijah Mitchell,4.0,1,1,all,False,0,1672456738.1001122,3.51924643468328
Chicago Bears,Chad Horne,0.61,1,2,all,False,0,1672456764.7254047,0.4998669307509422
Chicago Bears,Jevon Meyers,0.61,2,3,all,False,0,1672456780.0262957,0.5890628778718043
Chicago Bears,Tre Norwood,5.0,2,4,all,False,0,1672456805.3106937,4.01023255813803
Chicago Bears,Spencer Brown,3.0,1,5,all,False,0,1672456831.8570044,2.4082262895165023
Chicago Bears,Devin Asiasi,0.61,1,6,all,False,0,1672456864.0518239,0.5129622989461811
