Black Sea Dolphins,Nikolai Chavdarov,6.0,1,1,all,False,0,1673099583.2902696
Amsterdam Jaxies,Coles Footlong,1.0,3,1,all,False,0,1674165075.7769608,0.9796659167346158
Amsterdam Jaxies,Bhola Rahaman,1.0,3,2,all,False,0,1674165098.3049326,0.9794783116519081
Amsterdam Jaxies,Cesario Ferri,1.0,3,3,all,False,0,1674165188.9277809,0.979521551027977,0.979521551027977
Amsterdam Jaxies,Ro Seo-Jun,1.0,3,4,all,False,0,1674165207.205537,0.9795512109212212
Amsterdam Jaxies,David Van Zegeren,1.0,3,5,all,False,0,1674165321.5037868,0.9795299056895332
Amsterdam Jaxies,Stefan Pavlov,12.0,4,6,all,False,0,1674165416.244894,11.5159178096511
Amsterdam Jaxies,Roar Thaulow,1.0,3,7,all,False,0,1674165435.4921017,0.979579084150765,0.979579084150765
Amsterdam Jaxies,Kong Yimu,1.0,3,8,all,False,0,1674165454.8077953,0.979521551027977,0.979521551027977
Amsterdam Jaxies,Patrick Walsh,13.0,4,9,all,False,0,1674165473.3506646,12.474401478961974
Metros de Santiago,Kong Yimu,3.5,4,1,all,False,0,1674167580.7847416,3.3583916835071044
Metros de Santiago,Frans Mazwai,3.5,4,2,all,False,0,1674167594.5961552,3.358487816902066
Metros de Santiago,Roar Thaulow,3.5,4,3,all,False,0,1674167610.1173778,3.3586357311118085
Metros de Santiago,Alex Williams,3.5,4,4,all,False,0,1674167623.182017,3.3583939806881578
Metros de Santiago,Sergi Peris,3.0,3,5,all,False,0,1674167651.016953,2.9390603637110995
Metros de Santiago,Cesario Ferri,2.0,3,6,all,False,0,1674167671.2307477,3.6388564129546612
